ID,Name,Birth_Sort,Death_Sort,Reign_Start,Reign_End
1,Gorm den Gamle,NA,958,936,958
2,Harald Blåtand,NA,987,NA,987
3,Svend I Tveskæg,NA,1014,NA,1014
4,Harald II,NA,1018,1014,1018
5,Knud I den Store,995,1035,1018,1035
6,Hardeknud ,1020,1042,1035,1042
7,Magnus den Gode,1024,1047,1042,1047
8,Svend II Estridsen,NA,1076,1047,1074
9,Harald III Hen,NA,1080,1074,1080
10,Knud II den Hellige,NA,1086,1080,1086
11,Oluf I Hunger,NA,1095,1086,1095
12,Erik Ejegod,1056,1103,1095,1103
13,Niels,NA,1134,1104,1134
14,Erik II Emune,NA,1137,1134,1137
15,Erik III Lam,NA,1146,1137,1146
16,Knud III,NA,1157,1146,1157
17,Svend III,NA,1157,1146,1157
18,Valdemar I den Store,1131,1182,1146,1182
19,Knud IV,1163,1202,1182,1202
20,Valdemar II Sejr,1170,1241,1202,1241
21,Erik IV Plovpenning,1216,1250,1241,1250
22,Abel,1218,1252,1250,1252
23,Christoffer I,1219,1259,1252,1259
24,Erik V Klipping,1249,1286,1259,1286
25,Erik VI Menved,1274,1319,1286,1319
26,Christoffer II ,1276,1332,1319,1326
27,Valdemar III,1315,1364,1326,1329
28,Christoffer II,1276,1332,1329,1332
29,Valdemar IV Atterdag,1320,1375,1340,1375
30,Oluf II,1370,1387,1375,1387
31,Margrete I,1353,1412,1387,1396
32,Erik VII af Pommern,1382,1459,1396,1439
33,Christoffer III ,1416,1448,1440,1448
34,Christian I,1426,1481,1448,1481
35,Hans,1455,1513,1482,1513
36,Christian II,1481,1559,1513,1523
37,Frederik I,1471,1533,1523,1533
38,Christian III,1503,1559,1536,1559
39,Frederik II,1534,1588,1559,1588
40,Christian IV,1577,1648,1588,1648
41,Frederik III,1609,1670,1648,1670
42,Christian V,1646,1699,1670,1699
43,Frederik IV,1671,1730,1699,1730
44,Christian VI,1699,1746,1730,1746
45,Frederik V,1723,1766,1746,1766
46,Christian VII,1749,1808,1766,1808
47,Frederik VI ,1768,1839,1808,1839
48,Christian VIII,1786,1848,1839,1848
49,Frederik VII,1808,1863,1848,1863
50,Christian IX,1818,1906,1863,1906
51,Frederik VIII,1843,1912,1906,1912
52,Christian X,1870,1947,1912,1947
53,Frederik IX,1899,1972,1947,1972
54,Margrethe II,1940,NA,1972,2024
55,Frederik X,1968,NA,2024,NA
